"Возможно ли протестировать Вашу систему CRM, есть ли демо-версия?","Skype-презентация маркетинговых модулей занимает не больше 15 минут.","CRM, Тестирование"
Как происходит подключение номера мобильной связи к Vtiger CRM?,"Процесс подключения номера мобильной связи к Vtiger CRM следующий:  входящие звонки попадают в Asterisk, затем переадресовываются на личные телефоны сотрудников. Исходящие звонки осуществляются через Vtiger CRM, при этом Asterisk автоматически соединит телефон сотрудника с номером телефона клиента.","Консалтинг, Телефония, CRM"
Возможно ли на существующую Vtiger CRM подключить asterisk?,"Подключение asterisk к  Vtiger CRM на Вашем сервере осуществляются в рамках пакета сопровождения ""30"" по стоимости 53700 руб. Из них 20 - установка и настройка под ключ, еще 10 - на дальнейшее сопровождение системы. Также возможно подключить типовое решение на выделенный виртуальный сервер у нашего партнера - облачного провайдера ИТ-Град. Стоимость такого решения 24 900 руб.: http://salesplatform.ru/solutions/62-servicescrmasterisk.html. Стоимость не зависит от числа пользователей.","Консалтинг, Телефония, CRM"
Какие услуги входят в типовое решение CRM + IP телефония Asterisk?,"Услуги входящие в типовое решение CRM + IP телефония Asterisk на Вашем VPS следующие: установка и настройка системы SalesPlatform Vtiger CRM на Вашем сервере, установка и настройка виртуальной IP-АТС Asterisk на Вашем сервере, подключение к АТС внешней линии IP-телефонии (SIP), конфигурирование в АТС внутренних номеров сотрудников.","Консалтинг, Телефония, CRM"
Возможно ли осуществлять звонки с android и ios?,"Для того,ч тобы осуществлять звонки с android и ios Вам необходимо воспользоваться sip-софтфоном.","CRM, Интеграция, Консалтинг, Телефония"
Что из себя представляет процесс интеграции IP телефонии с Vtiger CRM?,"Процесс интеграции IP телефонии с Vtiger CRM включает следующее: установка и настройка системы SalesPlatform Vtiger CRM на Вашем сервере, установка и настройка виртуальной IP-АТС Asterisk на Вашем сервере, подключение к АТС внешней линии IP-телефонии (SIP), конфигурирование в АТС внутренних номеров сотрудников.","Консалтинг, Телефония, CRM"
"Какие необходимо заказать параметры VPS под типовое решение ""Vtiger CRM + IP телефония Asterisk""?","Параметры необходимые для VPS под типовое решение ""Vtiger CRM + IP телефония Asterisk"": стандартный (возможно, виртуальный) сервер минимум с 2 Гб оперативной памяти (рекомендуется 4Гб), жесткий диск - от 20 Гб, процессор минимум 4 ядра x 2ГГц (рекомендуется 6 ядер x 3ГГц). На сервере должна быть предварительно установлена ОС Linux (рекомендуем Debian 7).","Консалтинг, Телефония, CRM"
Можно ли установить Vtiger CRM на ОС Windows?,"Установка Vtiger CRM на ОС  Windows возможна, но не рекомендуется, т.к. есть много минусов решения на Windows: сложность обслуживания, надежность и пр."," CRM, Консалтинг"
Вы устанавливаете решение на базе IP-телефонии?,"Наша компания ""SalesPlatform"" устанавливает решение на базе IP-телефонии, и интегрирует его с Vtiger CRM.","Консалтинг, Телефония"
Какие дополнительные модули к CRM-системе Вы можете предложить?,"После установки Vtiger CRM будут доступны все модули системы. При необходимости, Вы можете дополнительно воспользоваться услугами наших специалистов по сопровождению или доработке системы."," CRM, Консалтинг"
Для IP-телефонии какое оборудование потребуется?,"Для IP-телефонии Asterisk специального оборудования не требуется. Специалисты нашей компании ""SalesPlatform"" смогут установить типовое решение на виртуальном сервере. Решение включает в себя установку Vtiger CRM и базовую настройку Asterisk. Стоимость 25430 руб.","Консалтинг, Телефония"
Вы проводите презентацию Vtiger CRM?,"Для того, чтобы провести презентацию Vtiger CRM Вам необходимо заполнить форму: http://salesplatform.ru/order-form.html, мы перезвоним Вам и согласуем удобное время презентации по Skype.","CRM, Тестирование"
Как можно заказать презентацию CRM-системы?,"Для того, чтобы заказать презентацию CRM-системы Вам необходимо заполнить форму: http://salesplatform.ru/order-form.html, мы перезвоним Вам и согласуем удобное время презентации по Skype.","CRM, Тестирование"
Сколько времени займет Skype-презентация?,"Skype-презентация проходит от 15 мин до часу в зависимости от Ваших дальнейших вопросов, можете указать пожелание по дате и времени.","CRM, Тестирование"
Какова стоимость стандартных настроек Vtiger CRM?,Стоимость стандартных настроек Vtiger CRM   составляет 34300 руб. В него входит 20 часов работы аналитика по созданию начальной конфигурации Vtiger CRM в рамках стандрартных настроек.," CRM, Коммерция"
Вы можете посоветовать подходящий недорогой хостинг для Vtiger CRM?,Подходящий недорогой хостинг для Vtiger CRM: clodo.ru или selectel.ru," CRM, Консалтинг, Сервер"
Разработкой модулей для Vtiger CRM занимаетесь?,"Наша компания ""SalesPlatform"" предоставляет услуги по разработке модулей для Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Консалтинг"
"Есть видео, презентация вашего продукта?","Видео о типовом процессе продаж в SalesPlatform Vtiger CRM: http://www.youtube.com/watch?v=qy-_EaM-K58, видео по телефонии: http://www.youtube.com/watch?v=aGNdADMHUWk. Описание системы Vtiger CRM также представлено в документации с перечнем функциональности: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640. ","CRM, Тестирование"
Вы дорабатываете функционал Vtiger CRM на уровне исходного кода?,"Наша компания ""SalesPlatform"" предоставляет услуги по доработке функционала Vtiger CRM на уровне исходного кода. Стоимость рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html "," CRM, Консалтинг"
Как можно получить полную версию Vtiger CRM?,"Для того, чтобы  получить полную версию Vtiger CRM необходимо перейти на страницу: http://community.salesplatform.ru/download/ "," CRM, Консалтинг"
Свободна ли какая-либо версия Вашей платформы?,Платформа Vtiger CRM является свободным ПО и предоставляется на основании свободной лицензии Vtiger Public License. Вы можете загрузить платформу на нашем сайте community.salesplatform.ru," CRM, Коммерция, Консалтинг"
Внешний сайт интегрируется с Vtiger CRM?,"Интеграция Vtiger CRM с внешним сайтом возможна при помощи модуля ""ВебФорма"" или API. Все это открыто и может быть использовано Вами."," CRM, Интеграция"
Веб-сайт прилагается к Vtiger CRM?,"Веб-сайт не прилагается к Vtiger CRM, но наша компания ""SalesPlatform"" предоставляет услуги по разработке сайтов. Для разработки подходит любая платформа, например, bitrix или drupal.","CRM, Консалтинг"
Вы разрабатываете сайты?,"Наша компания ""SalesPlatform"" предоставляет услуги по разработке сайтов. Для разработки подходит любая платформа, например, bitrix или drupal."," Сайт, Консалтинг"
Вы предоставляете услуги по разработке сайтов?,"Наша компания ""SalesPlatform"" предоставляет услуги по разработке сайтов. Для разработки подходит любая платформа, например, bitrix или drupal."," Сайт, Консалтинг"
"Вы сможете  доработать Vtiger CRM под любые компании, занимающиеся разными видами деятельности?","Наша компания ""SalesPlatform"" предоставляет услуги доработки Vtiger CRM под любые компании, занимающиеся разными видами деятельности,  это одна из основных услуг нашей компании.","CRM, Консалтинг"
Вы бы могли посоветовать дешевого поставщика IP-телефонии? ,"Цены у поставщиков IP-телефонии примерно на одном уровне, рекомендум обращаться к проверенным поставщикам, например, http://youmagic.pro/","Консалтинг, Телефония"
"Возможно ли в CRM-системе сделать так, чтобы разные отделы одной организации не видели друг друга?",Видимость (или невидимость) данных между отделами можно настроить стандартными средствами в Vtiger CRM. ," CRM, Консалтинг"
"Возможно ли в Vtiger CRM сделать так, чтобы у каждого отдела одной организации фиксировались свои реквизиты для Счетов?","Для того, чтобы в Vtiger CRM сделать так, чтобы у каждого отдела одной организации фиксировались свои реквизиты для Счетов необходимо создать несколько шаблонов счетов, либо реализовать соответствующую доработку CRM-системы."," CRM, Консалтинг"
Где можно скачать SalesPlatform Vtiger Asterisk Connector?,Скачать SalesPlatform Vtiger Asterisk Connector можно здесь: http://community.salesplatform.ru/download/,"Консалтинг, Телефония"
Какой веб-телефон можно использовать для звонков?,"Для зконков специального веб-телефона не требуется. Вы можете использовать для работы с IP-телефонией любой софтфон (например, Zoiper) или аппаратные SIP-телефоны.","Консалтинг, Телефония"
Можно ли посмотреть демо-версию Vtiger CRM?,"Для того, чтобы посмотреть демо-версию Vtiger CRM необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней.","CRM, Тестирование"
Интересует CRM + IP-телефония.,"Установка и настройка готового решения ""CRM + IP-телефония"" на Вашем сервере осуществляются в рамках пакета сопровождения ""30"" по стоимости 53700 руб. Из них 20 - установка и настройка под ключ, еще 10 - на дальнейшее сопровождение системы. Также возможно подключить типовое решение на выделенный виртуальный сервер у нашего партнера - облачного провайдера ИТ-Град. Стоимость такого решения 25330 руб. Стоимость не зависит от числа пользователей.","Консалтинг, Телефония, CRM"
Ваш продукт платный?,"Продук нашей компании ""SalesPlatform"" Vtiger CRM является свободным ПО и предоставляется на основании свободной лицензии Vtiger Public License. Вы можете загрузить платформу на нашем сайте community.salesplatform.ru. Платными являются услуги нашей компании ""SalesPlatform"" по внедрению и сопровождению системы."," CRM, Коммерция"
Нам нужна Vtiger CRM для салона красоты.,"Для того, чтобы протестировать Vtiger CRM для салона красоты необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html в поле услуга необходимо выбрать ""CRM для салона красоты"". Вам будет предоставлен бесплатный доступ на 15 дней."," CRM, Консалтинг"
Где можно скачать инструкцию по CRM-системе в формате PDF?,Инструкция по CRM-системе доступна по ссылке: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640," CRM, Консалтинг"
Какова стоимость Ваших услуг?,"Стоимость услуг нашей компаниии ""SalesPlatform"" приведены здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Коммерция"
Поддерживается ли в Vtiger CRM импорт/экспорт данных?,В Vtiger CRM поддерживается импорт/экспорт данных в формате CSV (совместим с Excel).," CRM, Консалтинг"
Вы консультируете по вопросам настройки CRM-системы?,Документация доступна по ссылке: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640," CRM, Консалтинг"
Вы предоставляете услуги по доработке конфигурации Vtiger CRM?,"Наша компания ""SalesPlatform"" предоставляет услуги по доработке конфигурации Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html "," CRM, Консалтинг"
В Vtiger CRM имеется возможность экспорта/импорта данных?,В Vtiger CRM имеется возможность экспорта/импорта данных в формате CSV (совместим с Excel).," CRM, Консалтинг"
Каким способом SalesPlatform Vtiger CRM интегрируется с 1С?,"SalesPlatform Vtiger CRM интегрируется с 1С (конфигурация ""Управление торговлей"") на основе протокола CommerceML. Также наша компания ""SalesPlatform"" может  реализовать решение по интеграции на основе SOAP с любой конфигурацией."," CRM, Консалтинг, Интеграция"
"Сколько стоит интерграция Vtiger CRM с 1С ""Управление торговлей""?","Интерграцию Vtiger CRM с 1С ""Управление торговлей"" Вы сможете настроить самостоятельно по инструкции: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640, раздел ""Интеграция со сторонними системами"", подраздел: ""Интеграция с 1С посредством CommerceML"". В случае затруднений наша компания ""SalesPlatform"" может оказать услугу технической поддержки системы."," CRM, Коммерция, Интеграция"
Дописываете ли Вы Vtiger CRM под нужды конкретного бизнеса?,"Наша компания ""SalesPlatform"" дописывает Vtiger CRM под нужды конкретного бизнеса, это одна из основных услуг нашей компании ."," CRM, Консалтинг"
Имеется ли возможность выхода в Vtiger CRM с мобильных устройств из другого города России или зарубежья?,"Разместив Vtiger CRM на сервере, доступном из сети интернет,  возможен выход в Vtiger CRM с мобильных устройств из другого города России или зарубежья."," CRM, Консалтинг"
Какой функционал входит в коробочную версию Vtiger CRM?,"Основной функционал, который входит в коробочную версию Vtiger CRM описан в документации: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640"," CRM, Консалтинг"
Возможно ли выводить данные из Vtiger CRM в формате PDF?,"Vtiger CRM поддерживает возможность вывода данные в формате PDF при помощи модуля ""Шаблоны PDF""."," CRM, Консалтинг"
Какие имеются функции в телефонии при интенграции с Vtiger CRM?,"При интенграции Vtiger CRM с телефонией появляются основные функции: один внешний SIP-транк, несколько внутренних абонентов. При необходимости наши специалисты смогут задействовать все возможности Asterisk. Функции интеграции с CRM: набор исходящих номеров, мониторинг входящих, история с привязкой к клиентам, прослушивание записанных звонков.","Консалтинг, Телефония, Интеграция"
Есть ли в Vtiger CRM возможность строить отчеты?,"В Vtiger CRM имеется возможность строить отчеты по звонкам, встречам, КП и т.д. при помощи конструктора отчетов, также имеется возможность использовать виджет ""Ключевые показатели"" (KPI)."," CRM, Консалтинг"
Есть ли у Вас обучение для пользователей Vtiger CRM?,"Обучение для пользователей Vtiger CRM проводится под конкретную конфигурацию, т.к. каждая организация настраивает систему под себя, что сильно изменяет функции и принципы ее работы. "," CRM, Консалтинг"
Чем отличается ваша сборка Vtiger CRM от оригинальной?,"Наша сборка Vtiger CRM отличается от оригинальной  в следующем: в системе SalasPlatform Vtiger CRM улучшенная локализация; поддержка UTF-8; Шаблоны PDF; Модули: Акты, Реализации, Платежи; единицы измерения; интеграция с 1С по протоколу CommerceML; интеграция с соц. сетями; интеграция с КЛАДР; интеграция с IP-телефонией и исправлены некоторые функциональные ошибки. Каждый релиз CRM-системы содержит перечень доработок, основная информация тут: http://community.salesplatform.ru/2014/10/07/salesplatform-vtiger-crm-610-201410-release/"," CRM, Консалтинг"
Что такое CommerceML?,"Протокол CommerceML используется для интеграции Vtiger CRM с конфигурацией 1С ""Управление Торговоей""."," CRM, Консалтинг"
Интересует стоимость приобретения Вашей Vtiger CRM.,"Стоимость приобретения нашей Vtiger CRM на Ваш сервер + 6 часов сопровождения составляет 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы, ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Коммерция"
Vtiger CRM работает только с IP-телефонией?,"Vtiger CRM интегрируется с Asterisk. К Asterisk можно подключать различные виды телефонных линий, не только IP.","Консалтинг, Телефония"
Как зайти на мобильную версию Vtiger CRM?,"Для того, чтобы зайти на мобильную версию Vtiger CRM можно скачать из Google Play (appstore) мобильное приложение на выбор для Android и iOS. Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете."," CRM, Консалтинг, Интеграция"
Как начать использовать демо-версию Vtiger CRM?,"Для того, чтобы начать использовать демо-версию Vtiger CRM перейдите по ссылке указанной в письме, далее введите логин и пароль.","CRM, Тестирование"
Что необходимо установить для интеграции Vtiger CRM с 1С?,"Для интеграции Vtiger CRM с 1С ничего дополнительно устанавливать не требуется. Подробная инструкция здесь: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640, раздел ""Интеграция со сторонними системами"", подраздел: ""Интеграция с 1С посредством CommerceML"". В случае затруднений наша компания ""SalesPlatform"" можем предоставить техническую поддержку и сопровождение."," CRM, Консалтинг, Интеграция"
Есть ли мобильный клиет под android?,"Есть несколько мобильных приложений на выбор для Android и iOS. Эти приложения для Vtiger, но они могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс системы из браузера на смартфоне или планшете."," CRM, Консалтинг, Интеграция"
Какие есть возможности у Vtiger CRM при входящем звонке?,"При входящем звонке в Vtiger CRM отображается всплывающее окно, в котором указывается информация о звонящем из CRM-системы (если такой контакт уже есть в CRM). Также сохраняется история звонков с привязкой к клиентам. Имеется возможность прослушивать записанные разговоры."," CRM, Консалтинг, Телефония"
Как можно воспользоваться вашей Vtiger CRM?,"Для того, чтобы воспользоваться Vtiger CRM заполните форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM."," CRM, Консалтинг"
Как я могу получить доступ к демо-версии Vtiger CRM?,"Для того, чтобы получить доступ к демо-версии Vtiger CRM необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней.","CRM, Тестирование"
Какие у Вас есть варианты удаленного внедрения?,"Наша компания ""SalesPlatform"" имеет опыт удаленного внедрения. В процессе внедрения Vtiger CRM у Вас будет выделенный сотрудник-аналитик, который будет контактировать с Вами с использованием всех доступных средств связи, включая скайп. Выполнение работ техническими специалистами нашей компании также может выполняться с использованием удаленного доступа."," CRM, Консалтинг"
Что входит в услугу внедрение пакета?,"В услугу внедрения пакета входят услуги аналитика (сбор и анализ требований, формирование проекта внедрения), а также услуги разработчиков по реализации проекта. Результатом внедрения является созданная по Вашим требованиям индивидуальная конфигурация системы Vtiger CRM."," CRM, Консалтинг"
Есть ли возможность в Vtiger CRM создать личный кабинет клиента?,"Для того, чтобы создать в Vtiger CRM личный кабинет клиента, необходима дополнительная установка, стоимость которой составляет 2 980 руб."," CRM, Консалтинг"
Вы занимаетесь доработкой Вашей Vtiger CRM?,"Наша компания ""SalesPlatform"" занимается доработкой Vtiger CRM, это одна из основных услуг нашей компании."," CRM, Консалтинг"
Вы проводите демонстрацию продукта через скайп?,"Для того, чтобы провести демонстрацию продукта через скайп необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html, мы перезвоним Вам и согласуем удобное время презентации по Skype.","CRM, Тестирование"
У Вас есть инструкция к Vtiger CRM?,"Инструкция к Vtiger CRM представлена в документации с перечнем функциональности: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640. Скринкаст о Типовом процессе продаж в SalesPlatform Vtiger CRM: http://www.youtube.com/watch?v=qy-_EaM-K58, скринкаст по телефонии: http://www.youtube.com/watch?v=aGNdADMHUWk"," CRM, Консалтинг"
На какой версии Vtiger CRM Вы оказываете услуги?,"Наша компания ""SalesPlatform"" оказываем услуги для любой версии Vtiger CRM нашей сборки (SalesPlatform). При необходимости, можем помочь обновиться до нашей последней версии."," CRM, Консалтинг"
"Будут ли утеряны изменения, внесенные во время эксплуатации системы при миграции Vtiger CRM?","При внесении  изменений во время эксплуатации Vtiger CRM стандартными средствами (например, редактирование полей карточек и т.д.), данные изменения сохранятся при миграции Vtiger CRM. Если изменения вносились во время эксплуатации системы в программный код, тогда при миграции Vtiger CRM изменения не сохранятся. Возможно, в случае незначительных изменений, специалисты нашей компании ""SalesPlatform"" смогут выполнить слияние кода с нашей новой версией Vtiger CRM, но это можно будет сказать только после анализа Вашего кода."," CRM, Консалтинг"
Какова стоимость миграции Vtiger CRM?,Стоимость стандартной миграции Vtiger CRM составляет 5960 руб.," CRM, Коммерция"
